id,category,product_name,brand,specs,price,image_array
132,laptop,HP 14-EP0018TU,HP,"I7 1355U/16GB/512/W11+OHS21/14""FHD IPS/BL/BLUE",12245,
133,laptop,HP 14-EP0019TU,HP,"I7 1355U/16GB/512/W11+OHS21/14""FHD IPS/BL/SILVER",12345,
134,laptop,HP 14-EP0022TU,HP,"I7 1360P/16GB/512/W11+OHS21/14""FHD IPS/BL/FP/SILVER",12545,
135,laptop,HP 15-FD1555TU,HP,"Intel Core Ultra 7 155H/16GB/512/W11+OHS21/15.6""FHD IPS/BL/NUMPAD/BLUE",12740,
136,laptop,HP 15-FD1777TU,HP,"Intel Core Ultra 7 155H/16GB/512/W11+OHS21/15.6""FHD IPS/BL/NUMPAD/SILVER",12740,
137,laptop,HP 15-FD0888TX VGA,HP,"I7 1355U/16GB/512/MX570A 2GB/W11+OHS21/15.6""FHD IPS/BL/BLUE",13795,
138,laptop,HP 15-FD0999TX VGA,HP,"I7 1355U/16GB/512/MX570A 2GB/W11+OHS21/15.6""FHD IPS/BL/SILVER",13695,
139,laptop,HP Pavilion Aero 13-BG0111AU 999 GRAM,HP,"R5 8640U/16GB/512/W11+OHS21/13.3""WUXGA IPS/BL/SILVER",13095,
140,laptop,HP Pavilion Aero 13-BG0222AU  999 GRAM,HP,"R5 8640U/16GB/512/W11+OHS21/13.3""WUXGA IPS/BL/BLUE",13095,
141,laptop,HP Pavilion Aero 13-BG0777AU  999 GRAM,HP,"R7 8840U/16GB/SSD 1TB/W11+OHS21/13.3""WUXGA IPS/BL/SILVER",14295,
142,laptop,HP Pavilion Aero 13-BG0888AU  999 GRAM,HP,"R7 8840U/16GB/SSD 1TB/W11+OHS21/13.3""WUXGA IPS/BL/BLUE",14295,
143,laptop,HP Pavilion PLUS 14-EY0016AU,HP,"R5 7540/16GB/512 GB/W11+OHS21/14"" WUXGA IPS/BL/FP/SILVER",10690,
144,laptop,HP Pavilion PLUS 14-EY0017AU,HP,"R5 7540/16GB/512 GB/W11+OHS21/14"" WUXGA IPS/BL/FP/BLUE",10690,
145,laptop,HP Pavilion PLUS 14-EY1777AU,HP,"R7 8845HS/16GB/SSD 1TB/W11+OHS21/14"" 2.8K OLED/BL/SILVER",14845,
146,laptop,HP Pavilion PLUS 14-EY1888AU,HP,"R7 8845HS/16GB/SSD 1TB/W11+OHS21/14"" 2.8K OLED/BL/BLUE",14845,
147,laptop,HP Pavilion PLUS 14-EW0021TU,HP,"I5 1335U EVO/16GB/512/W11+OHS21/14""WUXGA IPS/BL/BLUE",11345,
148,laptop,HP Pavilion PLUS 14-EW0077TU,HP,"I5 1335U EVO/16GB/512/W11+OHS21/14""WQXGA IPS/BL/SILVER",12245,
149,laptop,HP Pavilion PLUS 14-EW0078TU,HP,"I5 1335U EVO/16GB/512/W11+OHS21/14""WQXGA IPS/BL/BLUE",12245,
150,laptop,HP Pavilion PLUS 14-EW0079TU,HP,"I5 1335U EVO/16GB/512/W11+OHS21/14""WQXGA IPS/BL/PINK",12245,
151,laptop,HP Pavilion PLUS 14-EW1002TU,HP,"Intel Core Ultra 5 125H EVO/16GB/SSD 1TB/W11+OHS21/14""2.8K OLED/SILVER",14545,
152,laptop,HP Pavilion PLUS 14-EW1003TU,HP,"Intel Core Ultra 5 125H EVO/16GB/SSD 1TB/W11+OHS21/14""2.8K OLED/BLUE",14545,
153,laptop,HP Pavilion PLUS 14-EW0080TU OLED,HP,"I7 1355U EVO/16GB/SSD 1TB/W11+OHS21/14""2.8K OLED/BL/SILVER",15895,
154,laptop,HP Pavilion PLUS 14-EW0081TU OLED,HP,"I7 1355U EVO/16GB/SSD 1TB/W11+OHS21/14""2.8K OLED/BL/BLUE",15895,
155,laptop,HP Pavilion PLUS 14-EW0082TU OLED,HP,"I7 1355U EVO/16GB/SSD 1TB/W11+OHS21/14""2.8K OLED/BL/PINK",15895,
156,laptop,HP Pavilion PLUS 14-EW1005TU,HP,"Intel Core Ultra 7 155H EVO/32GB/SSD 1TB/W11+OHS21/14""2.8K OLED/SILVER",18845,
157,laptop,HP Pavilion PLUS 14-EW1006TU,HP,"Intel Core Ultra 7 155H EVO/32GB/SSD 1TB/W11+OHS21/14""2.8K OLED/BLUE",18845,
158,laptop,HP Pavilion X360-EK2051TU,HP,"I3 100U/8GB/512/W11+OHS21/14""FHD IPS/FLIP/TOUCH/PEN/BL/BLUE",9695,
159,laptop,HP Pavilion X360-EK2123TU,HP,"I3 100U/8GB/512/W11+OHS21/14""FHD IPS/FLIP/TOUCH/PEN/BL/SILVER",9695,
160,laptop,HP Pavilion X360-EK2111TU,HP,"Intel Core 5 120U/16GB/512/W11+OHS21/14""FHD IPS/FLIP/TOUCH/PEN/BL/SILVER",13490,
161,laptop,HP Pavilion X360-EK2222TU,HP,"Intel Core 5 120U/16GB/512/W11+OHS21/14""FHD IPS/FLIP/TOUCH/PEN/BL/ROSE GOLD",13490,
162,laptop,HP Pavilion X360-EK2333TU,HP,"Intel Core 5 120U/16GB/512/W11+OHS21/14""FHD IPS/FLIP/TOUCH/PEN/BL/SPACE BLUE",13290,
163,laptop,HP Pavilion X360-EK2555TU,HP,"Intel Core 7 150U/16GB/512/W11+OHS21/14""FHD IPS/FLIP/TOUCH/PEN/BL/SPACE BLUE",14745,
164,laptop,HP Pavilion X360-EK2777TU,HP,"Intel Core 7 150U/16GB/512/W11+OHS21/14""FHD IPS/FLIP/TOUCH/PEN/BL/SILVER",14995,
165,laptop,HP Pavilion 16-AF0777TU,HP,"Intel Core Ultra 5 125U/16GB/SSD 1TB/W11+OHS21/16""WUXGA IPS/TOUCH/BL/SILVER",13345,
166,laptop,HP Pavilion 16-AF0888TX,HP,"Intel Core Ultra 7 155U/32GB/SSD 1TB/GFORCE MX570A 4GB/W11+OHS21/16""WUXGA IPS/TOUCH/BL/SILVER",17645,
167,laptop,HP Victus Gaming 15-FA1666TX,HP,"I5 12450H/8GB/512/RTX2050 4GB/W11+OHS21/15.6""FHD IPS/BL/NUMPAD/MICA SILVER",10345,
168,laptop,HP Victus Gaming 15-FA1788TX,HP,"I5 13420H/8GB/512/RTX3050 6GB/W11+OHS21/15.6""FHD IPS/BL/NUMPAD/MICA SILVER",12195,
169,laptop,HP Victus Gaming 15-R0889TX,HP,"I5 13500H/16GB/512/RTX4050 6GB/W11+OHS21/16.1""FHD IPS/1-ZONE RGB BL/NUMPAD/MICA SILVER",14995,
170,laptop,HP Victus Gaming 16-R1206TX,HP,"I5 14450HX/16GB/512/RTX4060 8GB/W11+OHS21/16.1""FHD IPS/BL/NUMPAD/MICA SILVER",17995,
